Address,Loc
Shahran,5
Pardis,0
Shahrak,2
North,0
Andisheh,7
West,0
Narmak,4
Saadat,2
Zafar,3
Islamshahr,0
Pirouzi,13
Moniriyeh,11
Velenjak,1
Amirieh,11
Southern,0
Salsabil,10
Zargandeh,3
Feiz,5
Water,9
nan,0
ShahrAra,2
Gisha,2
Ray,12
Abbasabad,6
Ostad,9
Farmanieh,1
Parand,0
Punak,5
Qasr,7
Aqdasieh,1
Pakdasht,0
Railway,11
Central,0
East,0
Sattarkhan,2
Baghestan,0
Shahryar,0
Northern,0
Daryan,0
Rudhen,0
Afsarieh,15
Marzdaran,2
Dorous,3
Sadeghieh,2
Chahardangeh,0
Baqershahr,0
Jeyhoon,10
Lavizan,4
Shams,0
Fatemi,6
Keshavarz,6
Kahrizak,20
Qarchak,0
Northren,0
Azarbaijan,10
Bahar,7
Persian,0
Beryanak,10
Heshmatieh,7
Elm,0
Golestan,22
Shahr,0
Pasdaran,3
Chardivari,2
Gheitarieh,1
Kamranieh,1
Gholhak,3
Heravi,4
Hashemi,10
Dehkade,22
Damavand,13
Republic,11
Zaferanieh,1
Qazvin,17
Niavaran,1
Valiasr,3
Qalandari,0
Amir,6
Ekhtiarieh,3
Ekbatan,5
Absard,0
Haft,0
Mahallati,14
Ozgol,1
Tajrish,1
Abazar,5
Koohsar,5
Hekmat,0
Parastar,14
Lavasan,0
Majidieh,7
Karimkhan,7
Si,0
Karoon,10
Kook,0
Air,13
Sohanak,1
Komeil,10
Azadshahr,22
Zibadasht,22
Amirabad,6
Dezashib,1
Elahieh,1
Mirdamad,3
Razi,0
Jordan,3
Mahmoudieh,1
Shahedshahr,0
Yaftabad,18
Mehran,4
Nasim,0
Tenant,0
Chardangeh,0
Fallah,14
Eskandari,11
Shahrakeh,0
Ajudaniye,1
Tehransar,21
Nawab,10
Yousef,6
Villa,2
Hakimiyeh,4
Nezamabad,7
Garden,0
Tarasht,2
Azari,17
Araj,0
Vahidieh,8
Malard,0
Darband,1
Vanak,3
Tehran,0
Darabad,1
Eram,5
Atabak,15
Sabalan,8
SabaShahr,0
Waterfall,12
Ahang,14
Salehabad,0
Pishva,0
Enghelab,11
Firoozkooh,0
Ghoba,3
Mehrabad,9
Abuzar,14
Dolatabad,20
Hor,11
Taslihat,2
Kazemabad,4
Robat,0
Ghiyamdasht,15
Telecommunication,2
Mirza,0
Gandhi,6
Argentina,6
Seyed,4
Safadasht,0
Khademabad,0
Hassan,0
Chidz,0
Khavaran,14
Boloorsazi,17
Varamin,0
Shoosh,15
Thirteen,0
Darakeh,1
Aliabad,16
Alborz,0
Vahidiyeh,8
Shadabad,18
Naziabad,16
Javadiyeh,4
Yakhchiabad,16
